date,portfolio_value
2023-01-25,107037.07488212701
2023-02-01,107037.07488212701
2023-02-08,107037.07488212701
2023-02-15,107037.07488212701
2023-02-22,107037.07488212701
2023-03-01,107037.07488212701
2023-03-08,107037.07488212701
2023-03-15,107037.07488212701
2023-03-22,107037.07488212701
2023-03-29,107037.07488212701
2023-04-05,107037.07488212701
2023-04-12,107037.07488212701
2023-04-19,107037.07488212701
2023-04-26,107037.07488212701
2023-05-03,107037.07488212701
2023-05-10,107037.07488212701
2023-05-17,107037.07488212701
2023-05-24,107037.07488212701
2023-05-31,107037.07488212701
2023-06-07,107037.07488212701
2023-06-14,107037.07488212701
2023-06-21,107037.07488212701
2023-06-28,107037.07488212701
2023-07-05,107037.07488212701
2023-07-12,107037.07488212701
2023-07-19,107037.07488212701
2023-07-26,107037.07488212701
2023-08-02,107037.07488212701
2023-08-09,107037.07488212701
2023-08-16,107037.07488212701
2023-08-23,107037.07488212701
2023-08-30,107037.07488212701
2023-09-06,107037.07488212701
2023-09-13,107037.07488212701
2023-09-20,107037.07488212701
2023-09-27,107037.07488212701
2023-10-04,107037.07488212701
2023-10-11,107037.07488212701
2023-10-18,107037.07488212701
2023-10-25,107037.07488212701
2023-11-01,107037.07488212701
2023-11-08,107037.07488212701
2023-11-15,107037.07488212701
2023-11-22,107037.07488212701
2023-11-29,107037.07488212701
2023-12-06,107037.07488212701
2023-12-13,107037.07488212701
2023-12-20,107037.07488212701
2023-12-27,107037.07488212701
2024-01-03,107037.07488212701
2024-01-10,107037.07488212701
2024-01-17,107037.07488212701
2024-01-24,107037.07488212701
2024-01-31,107037.07488212701
2024-02-07,107037.07488212701
2024-02-14,107037.07488212701
2024-02-21,107037.07488212701
2024-02-28,107037.07488212701
2024-03-06,107037.07488212701
2024-03-13,129927.48112265681
2024-03-20,129927.48112265681
2024-03-27,129927.48112265681
2024-04-03,129927.48112265681
2024-04-10,129927.48112265681
2024-04-17,129927.48112265681
2024-04-24,129927.48112265681
2024-05-01,129927.48112265681
2024-05-08,129927.48112265681
2024-05-15,129927.48112265681
2024-05-22,134066.51742983086
2024-05-29,143702.9659880943
2024-06-05,143702.9659880943
2024-06-12,143702.9659880943
2024-06-19,127144.21382365895
2024-06-26,127144.21382365895
2024-07-03,126000.39851909177
2024-07-10,126000.39851909177
2024-07-17,126000.39851909177
2024-07-24,141853.18133988843
2024-07-31,141853.18133988843
2024-08-07,141853.18133988843
2024-08-14,141853.18133988843
2024-08-21,141853.18133988843
2024-08-28,141853.18133988843
2024-09-04,141853.18133988843
2024-09-11,141853.18133988843
2024-09-18,141853.18133988843
2024-09-25,141853.18133988843
2024-10-02,141853.18133988843
2024-10-09,141853.18133988843
2024-10-16,141853.18133988843
2024-10-23,141853.18133988843
2024-10-30,141853.18133988843
2024-11-06,141853.18133988843
2024-11-13,141853.18133988843
2024-11-20,141853.18133988843
2024-11-27,141853.18133988843
2024-12-04,141853.18133988843
2024-12-11,141853.18133988843
2024-12-18,141853.18133988843
2024-12-25,141853.18133988843
2025-01-01,141853.18133988843
2025-01-08,141853.18133988843
2025-01-15,141853.18133988843
2025-01-22,141853.18133988843
2025-01-29,141853.18133988843
2025-02-05,141853.18133988843
2025-02-12,117759.86653715547
2025-02-19,117759.86653715547
2025-02-26,117759.86653715547
2025-03-05,117759.86653715547
2025-03-12,117759.86653715547
2025-03-19,117759.86653715547
2025-03-26,117759.86653715547
2025-04-02,117759.86653715547
2025-04-09,117759.86653715547
2025-04-16,117759.86653715547
2025-04-23,117759.86653715547
2025-04-30,117759.86653715547
2025-05-07,117759.86653715547
2025-05-14,113649.36601773238
2025-05-21,113649.36601773238
2025-05-28,113649.36601773238
2025-06-04,113649.36601773238
2025-06-11,113649.36601773238
